Option Code,Option Description,Diffuser / Louvre Code,Diffuser / Louvre Description,Driver Code,Wiring Code,Wiring Description,Driver Description,Dimensions Code,Dimensions Description,CRI Code,CRI Description,CCT/Colour Code,CCT/Colour Description
NS,No Special Option,AA,None,AA,A,Hardwired,Standard Fixed Output Driver,AA,265mm x 265mm,80,80,27,2700k
LB,L Baffles,AB,Cumberland Diffuser,AB,B,F&P 2C (1M),TCI Fixed Output Driver,AB,580mm x 230mm,90,90,30,3000k
AB,Air Boot,AC,Princeton Diffuser,AC,C,F&P 2C + 2C (DALI),Tridonic Fixed output Driver,AC,590mm x 295mm,95,95,35,3500k
PM,Plaster Mount,AD,Frosted Diffuser,AD,D,F&P 3C (1M),Standard DALI-2 Driver,AD,590mm x 310mm,XX,Colour,40,4000k
SM,Surface Mount,AE,Clear Diffuser,AE,E,F&P 3C (1.5M),TCI DALI-2 Driver,AE,590mm x 595mm,9A,90(MR),50,5000k
TM,T-Bar Mount,AF,------,AF,F,F&P 3C + 2C (DALI),Tridonic DALI-2 Driver,AF,590mm x 590mm,9B,90(R9),60,6000k
US,Upward Slots,AG,Standard Diffuser,AG,G,F&P 3C + Round Earth (1.5M),Zencontrol DALI-2 Smart Driver,AG,595mm x 195mm,EN,Enliven,65,6500k
LX,Lighting Extrusion,AH,Wide Diffuser,AH,H,F&P Round Earth (1.5M),Zencontrol DALI-2 Smart + EM,AH,595mm x 295mm,,,TW,Tunable White
EE,Emergency Extrusion,AI,Twin Diffuser,AI,I,F&P Round Earth (1.5M),Zencontrol DALI-2 Smart + PIR Sensor,AI,595mm x 395mm,,,3C,RGB
SE,Sensor Extrusion,AJ,Standard Louvre,AJ,J,2.4M CMS 5 Pin Plug,Zencontrol DALI-2 Smart + MW Sensor,AJ,595mm x 590mm,,,4C,RGBW
BS,Black Surface mount,AK,Budget Louvre,AK,K,2.4M WBC 5 Pin plug,Zencontrol DALI-2 Smart + EM + PIR Sensor,AK,595mm x 595mm,,,BL,Blue
BP,Black Pendant,AL,Miro 5 Louvre 24 Cell,AL,L,F&P with 1 Circuit,Zencontrol DALI-2 Smart + EM + MW Sensor,AL,600mm x 252mm,,,RD,Red
BR,Black Recessed,AM,Miro 5 Louvre 24 Cell (1200),AM,M,F&P with 2 Circuit Wired 1/2/1/2,Zencontrol Wireless Smart Driver,AM,600mm x 300mm,,,GN,Green
WS,White Surface mount,AN,Miro 5 Louvre 30 Cell (1200),AN,N,F&P with 2 Circuit Wired 1/1/2/2,Zencontrol Wireless Smart + EM,AN,600mm x 600mm,,,YW,Yellow
WP,White Pendant,AO,Metal Louvre & UGR Diffuser,AO,O,F&P with 3 Circuit Wired 1/2/3/1,Zencontrol Wireless Smart + PIR Sensor,AO,602mm x 343mm,,,,
WR,White Recessed,AP,Metal Louvre & Clear Lens,AP,P,F&P with 3 Circuit Wired 1/1/2/2/3/3,Zencontrol Wireless Smart + MW Sensor,AP,615mm x 68mm,,,,
LA,L Baffles + Antimicrobial,AQ,Metal Louvre & Frosted Lens,AQ,Q,F&P with 3 Circuit Wired 1/2/1/2 with custom 24 Hour,Zencontrol Wireless Smart + EM + PIR Sensor,AQ,615mm x 138mm,,,,
AA,Air Boot + Antimicrobial,AR,Ultima Computer Louvre & UGR Diffuser,AR,R,F&P with 3 Circuit Wired 1/1/2/2 with custom 24 Hour,Zencontrol Wireless Smart + EM + MW Sensor,AR,620mm x 339mm,,,,
RA,Rear Access,AS,Ultima Computer Louvre & Clear Lens,AS,S,5 wire system A1/A2/N1/N2/E or A1/N/E/DA/DA,Standard Phase Cut Driver,AS,620mm x 340mm,,,,
,,AT,Ultima Computer Louvre & Frosted Lens,AT,T,7 wire system A1/A2/A3/N1/N2/N3/E or A1/N1/A2/N2/E/DA/DA,DALI-2 Driver + EM,AT,630mm x 630mm,,,,
,,AU,Triumph Diffuser,AU,,,DALI-2 Driver + PIR Sensor,AU,645mm x 310mm,,,,
,,AV,Low Glare Flat Diffuser,AV,,,DALI-2 Driver + EM + PIR Sensor,AV,620mm x 620mm,,,,
,,AW,Frosted Vandal Proof Diffuser,AW,,,Wireless DALI-2 Driver + EM,AW,670mm x 156mm,,,,
,,AX,Low Glare Vandal Proof Diffuser,AX,,,Wireless DALI-2 Driver + PIR Sensor,AX,685mm x 245mm,,,,
,,AY,Wireguard,AY,,,Wireless DALI-2 Driver + EM + PIR Sensor,AY,1125mm x 85mm,,,,
,,AZ,Right Angle Reflectors,AZ,,,Standard 24V CV driver,AZ,1143mm x 130mm,,,,
,,A0,45 Degree Reflectors,BA,,,Standard 24V CV driver + DALI PWM Controller,A1,1160mm x 230mm,,,,
,,A1,Forward Throw,BB,,,Standard 24V CV driver + Wireless PWM Controller,A2,1175mm x 64mm,,,,
